Feature,Importance
LOG_ASSESS_PER_SQFT,0.024719999999999943
fairly_valued_2025,0.005279999999999951
overvalued_2025,0.004239999999999977
BUILDING_AGE,0.004199999999999959
LOG_GROSS_SQFT,0.0033999999999999807
undervalued_2025,0.0030799999999999495
LOG_FINACTTOT_FY2022,0.0026399999999999757
COOP_APTS,0.0025599999999999625
ASSESS_TREND,0.0025199999999999446
LAND_TO_TOTAL,0.002479999999999949
UNITS,0.0019599999999999618
LOG_FINACTTOT_FY2023,0.0018399999999999528
LOG_PYACTTOT,0.0015599999999999837
LOG_FINACTLAND_FY2024,0.0013199999999999657
LOG_FINACTLAND_FY2025,0.0012399999999999523
MKT_YOY_FY2025,0.00123999999999993
ASSESS_VOLATILITY,0.0010799999999999699
LOG_FINMKTTOT_FY2024,0.001039999999999952
LOG_FINMKTTOT_FY2023,0.0009199999999999653
LOT_AREA,0.0008799999999999697
ASSESS_YOY_FY2022,0.0008799999999999474
fairly_valued_2023,0.0006799999999999474
fairly_valued_2024,0.0005999999999999561
ZIP_CODE_CODE,0.0005999999999999339
LOG_FINACTTOT_FY2024,0.0004399999999999737
BLDG_CLASS_CODE,0.00043999999999995155
BORO_CODE,0.0004399999999999293
LOG_FINACTLAND_FY2022,0.0003999999999999337
fairly_valued_2022,0.00035999999999998257
LOG_FINACTTOT_FY2021,0.00027999999999994696
LOG_FINACTLAND_FY2020,0.00023999999999995135
LOG_FINACTTOT_FY2020,0.00019999999999995577
fairly_valued_2020,0.00019999999999995577
ASSESS_YOY_FY2024,0.00015999999999996017
LAND_YOY_FY2021,0.00011999999999996458
LAND_YOY_FY2024,0.00011999999999996458
LAND_YOY_FY2022,7.999999999996898e-05
LAND_YOY_FY2023,0.0
MKT_YOY_FY2022,-4.4408920985006264e-17
BLD_STORY,-4.000000000006221e-05
LOG_FINMKTTOT_FY2021,-0.00024000000000004018
NUM_BLDGS,-0.0002400000000000846
LAND_YOY_FY2025,-0.00032000000000003136
fairly_valued_2021,-0.0005200000000000315
ASSESS_YOY_FY2025,-0.0005200000000000315
LOG_FINACTTOT_FY2025,-0.0006400000000000627
LOG_FINACTLAND_FY2021,-0.0006800000000000584
undervalued_2023,-0.0007200000000000317
overvalued_2022,-0.0009200000000000541
MKT_YOY_FY2023,-0.0009200000000000541
undervalued_2024,-0.0012800000000000368
LOG_FINACTLAND_FY2023,-0.0013200000000000544
overvalued_2024,-0.0013200000000000544
overvalued_2023,-0.0014800000000000368
ZONING_CODE,-0.0016000000000000458
undervalued_2021,-0.0017200000000000548
MKT_YOY_FY2024,-0.0017600000000000727
ASSESS_YOY_FY2023,-0.0018800000000000372
LOG_LAND_AREA,-0.002000000000000046
ASSESS_YOY_FY2021,-0.0020000000000000686
undervalued_2020,-0.002240000000000042
MKT_YOY_FY2021,-0.0024800000000000377
LOG_FINMKTTOT_FY2025,-0.0026400000000000646
overvalued_2020,-0.0026400000000000646
undervalued_2022,-0.00268000000000006
overvalued_2021,-0.0031600000000000295
LOG_FINMKTTOT_FY2022,-0.0034800000000000386
LOG_FINMKTTOT_FY2020,-0.0035200000000000344
MKT_TO_ASSESS,-0.004120000000000057
