Feature,Importance
LOG_ASSESS_PER_SQFT,8855
ZIP_CODE_CODE,5801
BUILDING_AGE,4917
LOG_GROSS_SQFT,4580
LAND_TO_TOTAL,4422
ASSESS_TREND,4246
ASSESS_VOLATILITY,4243
ASSESS_YOY_FY2024,4226
LOG_LAND_AREA,4028
ZONING_CODE,3783
ASSESS_YOY_FY2025,3774
ASSESS_YOY_FY2021,3730
ASSESS_YOY_FY2022,3300
ASSESS_YOY_FY2023,3019
LOT_AREA,2769
BLDG_CLASS_CODE,2587
PROJ_RATIO_FINACTTOT_FY2026,2147
BLD_STORY,2056
PROJ_RESID_FINACTTOT_FY2026,1874
PROJ_FINACTLAND_FY2026,1842
PROJ_RESID_FINMKTTOT_FY2026,1586
LOG_FINACTTOT_FY2022,1531
LOG_PYACTTOT,1411
LOG_FINACTTOT_FY2020,1405
LOG_FINACTTOT_FY2021,1386
MKT_YOY_FY2023,1296
LOG_FINACTTOT_FY2023,1295
LOG_FINMKTTOT_FY2025,1293
LOG_FINACTTOT_FY2024,1253
LOG_FINMKTTOT_FY2020,1252
LOG_FINMKTTOT_FY2022,1250
PROJ_FINACTTOT_FY2026,1221
LOG_FINMKTTOT_FY2021,1201
LOG_FINACTLAND_FY2020,1192
PROJ_FINMKTTOT_FY2026,1172
LOG_FINMKTTOT_FY2024,1036
LOG_FINMKTTOT_FY2023,1035
MKT_YOY_FY2025,914
MKT_YOY_FY2021,886
PROJ_RATIO_FINMKTTOT_FY2026,844
MKT_YOY_FY2022,742
MKT_TO_ASSESS,706
MKT_YOY_FY2024,657
LOG_FINACTLAND_FY2025,613
BORO_CODE,559
COOP_APTS,544
UNITS,537
LOG_FINACTLAND_FY2021,445
fairly_valued_2025,418
LOG_FINACTLAND_FY2023,402
overvalued_2025,389
LOG_FINACTLAND_FY2022,389
LOG_FINACTLAND_FY2024,376
overvalued_2023,352
overvalued_2024,351
fairly_valued_2024,336
undervalued_2025,330
fairly_valued_2023,309
fairly_valued_2022,306
PROJ_RESID_FINACTLAND_FY2026,292
undervalued_2024,288
fairly_valued_2020,286
undervalued_2020,279
undervalued_2023,276
fairly_valued_2021,271
overvalued_2020,262
LAND_YOY_FY2025,260
PROJ_RATIO_FINACTLAND_FY2026,247
overvalued_2022,247
undervalued_2022,234
overvalued_2021,226
undervalued_2021,215
NUM_BLDGS,146
LAND_YOY_FY2024,133
LAND_YOY_FY2022,103
LAND_YOY_FY2021,86
LAND_YOY_FY2023,66
LOG_FINACTTOT_FY2025,64
