component,explained_variance_ratio
0,0.15419728570486757
1,0.0907724146866839
2,0.07347466428529481
3,0.05853634217417959
4,0.05724882429970559
5,0.048535618732424554
6,0.04399453466090418
7,0.037480473455941396
8,0.035352531567168506
9,0.03336819068420041
10,0.030112378092696734
11,0.02781869500611857
12,0.026876168094911373
13,0.024419994728175912
14,0.017845343252414308
15,0.0165230680103042
16,0.014298117776122053
17,0.01409126624203585
18,0.012399253150941937
19,0.010573092072893368
20,0.009205584619918548
21,0.008885972792077266
22,0.008727806214992341
23,0.008439183859131194
24,0.00795238066201457
25,0.00737634728487249
26,0.006701010927737989
27,0.006414657305704909
28,0.005995832997346119
29,0.005784594285075663
30,0.005379844945405981
31,0.005292476749080034
32,0.005195284196861692
33,0.004922596334731043
34,0.0045474050739101315
35,0.004386077079368735
36,0.004273699496897478
37,0.004130603068401821
38,0.004023917297927892
39,0.0036669858316962186
40,0.0035965276795096347
41,0.0034027314973293817
42,0.0032242774490505804
43,0.003087097950395424
44,0.0030364452829008547
45,0.0028848417274340574
46,0.0024361341210225843
47,0.00230032538755366
48,0.002071054840908261
49,0.0020533647082451824
50,0.001980184741852112
51,0.001870816733741465
52,0.0017203539926693191
53,0.0016393497017169485
54,0.001533471175169528
55,0.0013402587053573107
56,0.0011760795966466963
57,0.001141222051155812
58,0.0010343100078264113
59,0.0010010578591515343
