component,explained_variance_ratio
0,0.1556086462339772
1,0.08909734950117466
2,0.0732023737591954
3,0.05852774497207826
4,0.057937318081686846
5,0.04469287697016437
6,0.04208849660707571
7,0.03762811119882665
8,0.03598951156367147
9,0.03408914725572017
10,0.02968559206216887
11,0.02838086006641187
12,0.02695506577120453
13,0.02401644014413994
14,0.01799188592200312
15,0.01683253541166987
16,0.014608715320978068
17,0.014375651689228207
18,0.01267005786761438
19,0.010806398122532783
20,0.00939391009933616
21,0.009079623136288578
22,0.008870925309445502
23,0.008596200224401834
24,0.008097059867010283
25,0.007530324404592047
26,0.006840520180223809
27,0.006551717683738767
28,0.006089827797714514
29,0.005869291094138998
30,0.005497773839632031
31,0.005400370930857963
32,0.0053072775194727365
33,0.005020851277214918
34,0.004638560904089463
35,0.004478300739516594
36,0.00434780057612282
37,0.004142539603213178
38,0.004025581592703247
39,0.0037401907468014514
40,0.0036762063901799465
41,0.003448420551641108
42,0.0032933169944424257
43,0.0031545384690654767
44,0.0030978666713130094
45,0.0029430807753675673
46,0.0024870391016895
47,0.002350995006134942
48,0.002100567593701838
49,0.002030057091418588
50,0.001968658995795679
51,0.0018926886291071212
52,0.0017068208137652452
53,0.001654034120170031
54,0.001539584842194171
55,0.0013008757624199127
56,0.0011687652263210038
57,0.0011612064260263291
58,0.0010567244560795855
59,0.0010180505411683356
